Workcentre,GSS_Stage,Area_Ha
BEN,x4GS1_Earl,1163.3123995826875
BEN,x4GS2_Youn,5320.824963113417
BEN,x4GS3_Matu,9733.802440214027
BEN,x4GS4_Late,31868.423284565237
CAS,x4GS1_Earl,2161.23734452931
CAS,x4GS2_Youn,3419.209983960253
CAS,x4GS3_Matu,9536.03124461637
CAS,x4GS4_Late,15809.635674716696
COH,x4GS1_Earl,5724.510946042085
COH,x4GS2_Youn,62.82837924392089
COH,x4GS3_Matu,3706.9856757875505
COH,x4GS4_Late,34212.28975497209
HTH,x4GS1_Earl,3.866261551083814
HTH,x4GS2_Youn,1940.1109293863474
HTH,x4GS3_Matu,5787.814687091625
HTH,x4GS4_Late,17312.232028655257
ING,x4GS1_Earl,182.77200848431872
ING,x4GS2_Youn,2864.3118460410888
ING,x4GS3_Matu,12686.801354660356
ING,x4GS4_Late,36769.241710068105
MAC,x4GS1_Earl,226.66962060276038
MAC,x4GS2_Youn,434.3465702978389
MAC,x4GS3_Matu,5200.2346904067535
MAC,x4GS4_Late,520.336479103852
MRY,x4GS1_Earl,3995.225134879356
MRY,x4GS2_Youn,8757.024758439145
MRY,x4GS3_Matu,27409.44895946303
MRY,x4GS4_Late,43222.565977782666
RSH,x4GS1_Earl,1901.9188643626712
RSH,x4GS2_Youn,1763.927960869121
RSH,x4GS3_Matu,3781.647484105316
RSH,x4GS4_Late,25843.930296746887
STA,x4GS1_Earl,308.65720700062394
STA,x4GS2_Youn,2704.48590279212
STA,x4GS3_Matu,4947.592477038828
STA,x4GS4_Late,27039.622007297556
