Workcentre,TFI_Status,Area_Ha
BEN,ABOVE,31714.739086390757
BEN,BELOW,6265.338570197218
BEN,WITHIN,10106.502115644453
CAS,ABOVE,15361.084076689753
CAS,BELOW,5487.058197553033
CAS,WITHIN,10077.971973579843
COH,ABOVE,15147.101729440197
COH,BELOW,342.9871031158925
COH,WITHIN,28216.525923489557
HTH,ABOVE,16737.76910612596
HTH,BELOW,1998.9141759343518
HTH,WITHIN,6307.340624624001
ING,ABOVE,36265.03312349269
ING,BELOW,4120.447970781034
ING,WITHIN,12117.64582498014
MAC,ABOVE,299.2733714285402
MAC,BELOW,1596.7487565201125
MAC,WITHIN,4485.565232462552
MRY,ABOVE,41790.08929794515
MRY,BELOW,13151.405413421293
MRY,WITHIN,28442.770119197747
RSH,ABOVE,23022.975005479475
RSH,BELOW,1948.4758995092914
RSH,WITHIN,8324.006336106131
STA,ABOVE,26986.202416187218
STA,BELOW,2566.611378370641
STA,WITHIN,5572.578479275096
