burn_name,risk
kangaroo_flat_collins_st,1.781671113
glenluce_wewak_tk,1.659202195
inglewood_potter_hill,1.513246086
campbells_creek_stephensons_tk,1.42265264
tarilta_porcupine_ridge_tk,1.095509639
campbells_creek_arthurs_trk,0.919355716
cobaw_sf_smiths_tk,0.855604772
castlemaine_youngmans_tk,0.565370212
heathcote_mt_ida_rd,0.563692555
newstead_demo_tk,0.535172396
glenluce_hunter_tk_fire_investigation_training,0.506652237
castlemaine_boundary_rd,0.488198017
glenpatrick_north_glenpatrick_tk,0.452967232
wedderburn_daisy_ln,0.37915035
heathcote_pannells_tk,0.359018473
inglewood_greenhills_rd,0.352307847
mandurang_south_mannix_lane,0.330498314
golden_point_quartz_hill_rd,0.310366437
cobaw_sf_soil_pit_tk,0.301978155
maiden_gully_timbertop_rise,0.296951226
wyperfeld_np_kumbrunin_boundary,0.244937837
mandurang_south_pearces_rd,0.236549555
wedderburn_queens_gully,0.191252831
kara_kara_np_lookout_tk,0.187897518
kooyoora_ddw_kneebone_tk,0.166087985
macedon_turner_avenue_north,0.159377359
kingower_cemetery_rd,0.134212513
stuart_mill_sunraysia_hwy,0.11240298
redbank_jacky_willis_tk,0.109047667
warrenmang_squatters_tk,0.093948759
redbank_mt_separation_rd,0.078849852
sedgwick_barty_rd,0.067106257
one_eye_sf_thomas_tk,0.0654286
wyperfeld_nine_mile_square_east_corridor,0.060395631
rushworth_perry_rd,0.058717975
kooyoora_ddw_halls_rd,0.058717975
gum_tree_flat_elliot_rd,0.048652036
maryborough_osborne_ct,0.045296723
newstead_ddw_spring_hill_tk,0.045296723
kimbolton_currie_tk,0.045296723
barkly_ddw_kara_kara_np_blue_gum_trk,0.043619067
amherst_golden_tk,0.038586098
whipstick_whipstick_rd,0.035230785
maryborough_settling_pond_tk,0.030197815
wyperfeld_wirribibial_track,0.028520159
tarnagulla_golf_course,0.026842503
wyperfeld_np_booligal_west_a1,0.026842503
mandurang_robie_rd,0.025164846
sailors_gully_leggo_st,0.02348719
junortoun_scrub_tk,0.020131877
rushworth_jones_rd,0.020131877
strathfieldsaye_guys_hill_rd,0.018454221
whroo_scrubby_rd,0.018454221
dingee_ddw_tang_tang_swamp,0.016776564
murchison_yynac_waranga_br,0.015098908
tooborac_tooborac_ncr,0.011743595
burnbank_hermit_tk,0.010065938
wehla_ddw_wehla_ncr,0.008388282
daisy_hill_daisy_hill_tk,0.006710626
birdcage_southern_boundary,0.006710626
junortoun_wellsford_rd,0.006710626
lexton_h6_br,0.006710626
junortoun_pope_tk,0.005032969
epsom_howard_st,0.005032969
whipstick_naughton_tk,0.005032969
gannawarra_red_gum_swamp_ncr_blw_red_gum_swamp,0.003355313
wathe_ffr_wathe_east_boundary,0.003355313
adelaide_lead_hemlock_tk,0.003355313
maryborough_ddw_happy_tommy_tk,0.003355313
murchison_yynac_dr_swamp_wr,0.003355313
murchison_yynac_molka_station,0.003355313
st_arnaud_silvermines_rd_complex,0.003355313
borung_ddw_ngarri,0.003355313
kamarooka_east_campbell_road,0.003355313
yorta_yorta_kow_swamp,0.001677656
wyperfeld_np_yarto_dattuck_boundary,0.001677656
big_desert_sf_ngallo_boundary,0.001677656
murray_sunset_np_danyo_boundary,0.001677656
wyperfeld_paradise_east,0.001677656
caralulup_granite_hill,0.001677656
eppalock_br_ddw_campaspe_river,0.001677656
mysia_ncr_ddw_old_boort_rd,0.001677656
rowland_ncr_barapa_rowlands_ncr,0.001677656
talbot_amherst_br,0.001677656
teal_point_blw_mcdonald_swamp,0.001677656
huntly_east_rd,0.001677656
annuello_broken_glass_track_west,0
annuello_north_west_boundary,0
annuello_south_west_boundary,0
big_desert_booligal_boundary_b2,0
big_desert_nhill_murrayville_track_south,0
big_desert_nhill_murrayville_track_west,0
big_desert_sf_northern_boundary_chained_break,0
big_desert_wagon_flat_boundary,0
budgerum_barapa_barapa_budgerum_ssr,0
golden_gully_golden_gully_complex,0
spring_gully_burns_st,0
quarry_hill_burnside_st,0
golden_gully_belle_vue_rd,0
kangaroo_flat_tipperary_gully,0
dunolly_old_lead_tk,0
axedale_ddw_campaspe_river,0
cohuna_wire_fence_track_1,0
cohuna_wire_fence_track_2,0
cohuna_wire_fence_track_3,0
budgerum_barapa_barapa_budgerum_ssr,0
echuca_village_yynac_kanyapella,0
heathcote_hird_tk,0
hunter_ddw_elmore_cohuna_rail_line_br,0
maryborough_layton_rd,0
murchison_yynac_murchison_br,0
murchison_yynac_police_paddock,0
murchison_yynac_station_street,0
rowlands_blw_flannerys_ncr,0
rowlands_blw_flannerys_ncr_sw_block,0
thurla_loderii_track,0
hattah_calder_highway_east,0
hattah_kulkyne_np_red_ochre_track,0
murray_sunset_bellbird_boltons_road_boundary,0
murray_sunset_berrock_corridor_a3,0
murray_sunset_boinka_north_boundary,0
murray_sunset_calder_highway_west,0
murray_sunset_millewa_berrook_corridor_south,0
murray_sunset_nowingi_line_track,0
murray_sunset_np_bambill_south_strategic_corridor,0
murray_sunset_np_berrook_reference_area,0
murray_sunset_np_border_track_north,0
murray_sunset_np_mopoke_track_corridor,0
murray_sunset_np_mt_jess_boundary,0
murray_sunset_np_mt_jess_corridor_c3,0
murray_sunset_np_pheenys_trk_a1,0
murray_sunset_np_sunset_wz_strategic_corridor_north,0
murray_sunset_one_tree_plain_track_south,0
murray_sunset_south_west_boundary,0
murray_sunset_sunset_wilderness_zone,0
murray_sunset_tutye_north_boundary,0
torrumbarry_yynac_bailieu_lagoon_wr,0
waranga_shores_yynac_kilmartin_road,0
wharparilla_north_yynac_rmr_farley_bend,0
wharparilla_yynac_rmr_bertha_bend_3_farley_road,0
murray_sunset_underbool_track_west,0
nyah_wadi_wadi_nyah_golf_course,0
wyuna_yynac_king_paddy_road,0
wyuna_yynac_wyuna_station,0
patchewollock_hopetoun_walpeup_road,0
wyuna_yynac_wyuna_track_lgnp,0
wyuna_yynac_yambuna_black_gate_lgnp,0
robinvale_tati_tati_gadsens_bend_block_1,0
robinvale_tati_tati_gadsons_2,0
wyperfeld_np_chinamans_well_tk_north,0
avoca_boundary_rd,0
dunolly_axe_tk,0
rheola_ddw_burnt_bridge_rd,0
flannery_ncr_barapa_flannerys_ncr,0
kangaroo_flat_leanganook_tk,0
yorta_yorta_kanyapella,0
huntly_viola_rd,0
boort_ddw_woolshed_swamp_wr,0
stuart_mill_rostron_stuart_mill_rd,0
kooyoora_ddw_wehla_kingower_rd,0
whipstick_ddw_brights_lane,0
archdale_ddw_archdale_ssr,0
whipstick_ddw_evans_rd,0
whipstick_wallenjoe_rd,0
sedgwick_wiener_tk,0
kara_kara_np_centre_rd,0
mandurang_connellys_rd,0
big_hill_sandhurst_reservoir_rd,0
tooborac_tooborac_sf,0
waanyarra_aussie_tk,0
rushworth_pyle_rd,0
whipstick_ddw_nuggety_rd,0
campbells_creek_spring_gully_rd,0
redbank_the_punchbowl,0
percydale_sardine_trk,0
heathcote_spring_flat_rd,0
newstead_pyrenees_hwy,0
one_eye_sf_mcivor_hwy,0
inglewood_lamprells_rd,0
amphitheatre_rayners_tk,0
drummond_north_old_hunters_lane,0
